[2025-11-26T03:49:15.734+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-11-26T03:49:15.798+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-11-26T03:47:00+00:00 [queued]>
[2025-11-26T03:49:15.809+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-11-26T03:47:00+00:00 [queued]>
[2025-11-26T03:49:15.810+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-11-26T03:49:15.828+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-11-26 03:47:00+00:00
[2025-11-26T03:49:15.857+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=642) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-11-26T03:49:15.852+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-11-26T03:47:00+00:00', '--job-id', '4', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp4tp8ois0']
[2025-11-26T03:49:15.859+0000] {standard_task_runner.py:64} INFO - Started process 653 to run task
[2025-11-26T03:49:15.859+0000] {standard_task_runner.py:91} INFO - Job 4: Subtask download_minio
[2025-11-26T03:49:16.055+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-11-26T03:47:00+00:00 [running]> on host 7117a22c6018
[2025-11-26T03:49:16.262+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-11-26T03:47:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-11-26T03:47:00+00:00'
[2025-11-26T03:49:16.265+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-11-26T03:49:21.590+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127061.json -> /tmp/minio_downloads/1764127061.json
[2025-11-26T03:49:21.617+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127070.json -> /tmp/minio_downloads/1764127070.json
[2025-11-26T03:49:21.639+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127081.json -> /tmp/minio_downloads/1764127081.json
[2025-11-26T03:49:21.667+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127092.json -> /tmp/minio_downloads/1764127092.json
[2025-11-26T03:49:21.693+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127101.json -> /tmp/minio_downloads/1764127101.json
[2025-11-26T03:49:21.714+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127111.json -> /tmp/minio_downloads/1764127111.json
[2025-11-26T03:49:21.737+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127120.json -> /tmp/minio_downloads/1764127120.json
[2025-11-26T03:49:21.758+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127130.json -> /tmp/minio_downloads/1764127130.json
[2025-11-26T03:49:21.776+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127140.json -> /tmp/minio_downloads/1764127140.json
[2025-11-26T03:49:21.794+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127149.json -> /tmp/minio_downloads/1764127149.json
[2025-11-26T03:49:21.809+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127161.json -> /tmp/minio_downloads/1764127161.json
[2025-11-26T03:49:21.827+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127170.json -> /tmp/minio_downloads/1764127170.json
[2025-11-26T03:49:21.848+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127180.json -> /tmp/minio_downloads/1764127180.json
[2025-11-26T03:49:21.865+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127189.json -> /tmp/minio_downloads/1764127189.json
