[2025-11-26T03:47:46.504+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-11-26T03:47:46.644+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-11-26T03:46:00+00:00 [queued]>
[2025-11-26T03:47:46.661+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-11-26T03:46:00+00:00 [queued]>
[2025-11-26T03:47:46.665+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-11-26T03:47:46.719+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-11-26 03:46:00+00:00
[2025-11-26T03:47:46.831+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=37) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-11-26T03:47:46.833+0000] {standard_task_runner.py:64} INFO - Started process 50 to run task
[2025-11-26T03:47:46.828+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-11-26T03:46:00+00:00', '--job-id', '2', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpmykmskra']
[2025-11-26T03:47:46.834+0000] {standard_task_runner.py:91} INFO - Job 2: Subtask download_minio
[2025-11-26T03:47:47.239+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-11-26T03:46:00+00:00 [running]> on host 7117a22c6018
[2025-11-26T03:47:47.499+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-11-26T03:46:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-11-26T03:46:00+00:00'
[2025-11-26T03:47:47.501+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-11-26T03:47:51.324+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127061.json -> /tmp/minio_downloads/1764127061.json
[2025-11-26T03:47:51.359+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127070.json -> /tmp/minio_downloads/1764127070.json
[2025-11-26T03:47:51.390+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127081.json -> /tmp/minio_downloads/1764127081.json
[2025-11-26T03:47:51.415+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127092.json -> /tmp/minio_downloads/1764127092.json
[2025-11-26T03:47:51.441+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127101.json -> /tmp/minio_downloads/1764127101.json
[2025-11-26T03:47:51.465+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127111.json -> /tmp/minio_downloads/1764127111.json
[2025-11-26T03:47:51.506+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127120.json -> /tmp/minio_downloads/1764127120.json
[2025-11-26T03:47:51.531+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127130.json -> /tmp/minio_downloads/1764127130.json
[2025-11-26T03:47:51.570+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127140.json -> /tmp/minio_downloads/1764127140.json
[2025-11-26T03:47:51.608+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127149.json -> /tmp/minio_downloads/1764127149.json
[2025-11-26T03:47:51.631+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127161.json -> /tmp/minio_downloads/1764127161.json
[2025-11-26T03:47:51.659+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127170.json -> /tmp/minio_downloads/1764127170.json
[2025-11-26T03:47:51.683+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127180.json -> /tmp/minio_downloads/1764127180.json
[2025-11-26T03:47:51.714+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127189.json -> /tmp/minio_downloads/1764127189.json
[2025-11-26T03:47:51.738+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127199.json -> /tmp/minio_downloads/1764127199.json
[2025-11-26T03:47:51.758+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127209.json -> /tmp/minio_downloads/1764127209.json
[2025-11-26T03:47:51.781+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127221.json -> /tmp/minio_downloads/1764127221.json
[2025-11-26T03:47:51.797+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127231.json -> /tmp/minio_downloads/1764127231.json
[2025-11-26T03:47:51.815+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127241.json -> /tmp/minio_downloads/1764127241.json
[2025-11-26T03:47:51.834+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127251.json -> /tmp/minio_downloads/1764127251.json
[2025-11-26T03:47:51.856+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127261.json -> /tmp/minio_downloads/1764127261.json
[2025-11-26T03:47:51.876+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127270.json -> /tmp/minio_downloads/1764127270.json
[2025-11-26T03:47:51.894+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127281.json -> /tmp/minio_downloads/1764127281.json
[2025-11-26T03:47:51.915+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127291.json -> /tmp/minio_downloads/1764127291.json
[2025-11-26T03:47:51.929+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127301.json -> /tmp/minio_downloads/1764127301.json
[2025-11-26T03:47:51.944+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127311.json -> /tmp/minio_downloads/1764127311.json
[2025-11-26T03:47:51.962+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127321.json -> /tmp/minio_downloads/1764127321.json
[2025-11-26T03:47:51.987+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127330.json -> /tmp/minio_downloads/1764127330.json
[2025-11-26T03:47:52.011+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127340.json -> /tmp/minio_downloads/1764127340.json
[2025-11-26T03:47:52.027+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127350.json -> /tmp/minio_downloads/1764127350.json
[2025-11-26T03:47:52.043+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127063.json -> /tmp/minio_downloads/1764127063.json
[2025-11-26T03:47:52.058+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127073.json -> /tmp/minio_downloads/1764127073.json
[2025-11-26T03:47:52.073+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127084.json -> /tmp/minio_downloads/1764127084.json
[2025-11-26T03:47:52.092+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127093.json -> /tmp/minio_downloads/1764127093.json
[2025-11-26T03:47:52.108+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127103.json -> /tmp/minio_downloads/1764127103.json
[2025-11-26T03:47:52.131+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127113.json -> /tmp/minio_downloads/1764127113.json
[2025-11-26T03:47:52.147+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127123.json -> /tmp/minio_downloads/1764127123.json
[2025-11-26T03:47:52.162+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127132.json -> /tmp/minio_downloads/1764127132.json
[2025-11-26T03:47:52.178+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127142.json -> /tmp/minio_downloads/1764127142.json
[2025-11-26T03:47:52.194+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127153.json -> /tmp/minio_downloads/1764127153.json
[2025-11-26T03:47:52.218+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127163.json -> /tmp/minio_downloads/1764127163.json
[2025-11-26T03:47:52.234+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127172.json -> /tmp/minio_downloads/1764127172.json
[2025-11-26T03:47:52.250+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127182.json -> /tmp/minio_downloads/1764127182.json
[2025-11-26T03:47:52.268+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127192.json -> /tmp/minio_downloads/1764127192.json
[2025-11-26T03:47:52.286+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127202.json -> /tmp/minio_downloads/1764127202.json
[2025-11-26T03:47:52.309+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127212.json -> /tmp/minio_downloads/1764127212.json
[2025-11-26T03:47:52.328+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127223.json -> /tmp/minio_downloads/1764127223.json
[2025-11-26T03:47:52.353+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127233.json -> /tmp/minio_downloads/1764127233.json
[2025-11-26T03:47:52.378+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127243.json -> /tmp/minio_downloads/1764127243.json
[2025-11-26T03:47:52.396+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127253.json -> /tmp/minio_downloads/1764127253.json
[2025-11-26T03:47:52.420+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127263.json -> /tmp/minio_downloads/1764127263.json
[2025-11-26T03:47:52.435+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127273.json -> /tmp/minio_downloads/1764127273.json
[2025-11-26T03:47:52.458+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127284.json -> /tmp/minio_downloads/1764127284.json
[2025-11-26T03:47:52.476+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127294.json -> /tmp/minio_downloads/1764127294.json
[2025-11-26T03:47:52.492+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127304.json -> /tmp/minio_downloads/1764127304.json
[2025-11-26T03:47:52.512+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127313.json -> /tmp/minio_downloads/1764127313.json
[2025-11-26T03:47:52.532+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127323.json -> /tmp/minio_downloads/1764127323.json
[2025-11-26T03:47:52.552+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127333.json -> /tmp/minio_downloads/1764127333.json
[2025-11-26T03:47:52.571+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127343.json -> /tmp/minio_downloads/1764127343.json
[2025-11-26T03:47:52.590+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127352.json -> /tmp/minio_downloads/1764127352.json
[2025-11-26T03:47:52.606+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127062.json -> /tmp/minio_downloads/1764127062.json
[2025-11-26T03:47:52.621+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127072.json -> /tmp/minio_downloads/1764127072.json
[2025-11-26T03:47:52.642+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127083.json -> /tmp/minio_downloads/1764127083.json
[2025-11-26T03:47:52.670+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127093.json -> /tmp/minio_downloads/1764127093.json
[2025-11-26T03:47:52.684+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127102.json -> /tmp/minio_downloads/1764127102.json
[2025-11-26T03:47:52.700+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127112.json -> /tmp/minio_downloads/1764127112.json
