[2025-11-26T03:49:32.356+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-11-26T03:49:33.277+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127340.json -> /tmp/minio_downloads/1764127340.json
[2025-11-26T03:49:33.286+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127350.json -> /tmp/minio_downloads/1764127350.json
[2025-11-26T03:49:33.296+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127063.json -> /tmp/minio_downloads/1764127063.json
[2025-11-26T03:49:33.305+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127073.json -> /tmp/minio_downloads/1764127073.json
[2025-11-26T03:49:33.318+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127084.json -> /tmp/minio_downloads/1764127084.json
[2025-11-26T03:49:33.329+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127093.json -> /tmp/minio_downloads/1764127093.json
[2025-11-26T03:49:33.339+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127103.json -> /tmp/minio_downloads/1764127103.json
[2025-11-26T03:49:33.349+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127113.json -> /tmp/minio_downloads/1764127113.json
[2025-11-26T03:49:33.360+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127123.json -> /tmp/minio_downloads/1764127123.json
[2025-11-26T03:49:33.373+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127132.json -> /tmp/minio_downloads/1764127132.json
[2025-11-26T03:49:33.383+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127142.json -> /tmp/minio_downloads/1764127142.json
[2025-11-26T03:49:33.392+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127153.json -> /tmp/minio_downloads/1764127153.json
[2025-11-26T03:49:33.403+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127163.json -> /tmp/minio_downloads/1764127163.json
[2025-11-26T03:49:33.419+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127172.json -> /tmp/minio_downloads/1764127172.json
[2025-11-26T03:49:33.429+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127182.json -> /tmp/minio_downloads/1764127182.json
[2025-11-26T03:49:33.441+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127192.json -> /tmp/minio_downloads/1764127192.json
[2025-11-26T03:49:33.451+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127202.json -> /tmp/minio_downloads/1764127202.json
[2025-11-26T03:49:33.460+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127212.json -> /tmp/minio_downloads/1764127212.json
[2025-11-26T03:49:33.470+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127223.json -> /tmp/minio_downloads/1764127223.json
[2025-11-26T03:49:33.480+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127233.json -> /tmp/minio_downloads/1764127233.json
[2025-11-26T03:49:33.488+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127243.json -> /tmp/minio_downloads/1764127243.json
[2025-11-26T03:49:33.497+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127253.json -> /tmp/minio_downloads/1764127253.json
[2025-11-26T03:49:33.506+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127263.json -> /tmp/minio_downloads/1764127263.json
[2025-11-26T03:49:33.516+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127273.json -> /tmp/minio_downloads/1764127273.json
[2025-11-26T03:49:33.530+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127284.json -> /tmp/minio_downloads/1764127284.json
[2025-11-26T03:49:33.543+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127294.json -> /tmp/minio_downloads/1764127294.json
[2025-11-26T03:49:33.553+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127304.json -> /tmp/minio_downloads/1764127304.json
[2025-11-26T03:49:33.563+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127313.json -> /tmp/minio_downloads/1764127313.json
[2025-11-26T03:49:33.573+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127323.json -> /tmp/minio_downloads/1764127323.json
[2025-11-26T03:49:33.583+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127333.json -> /tmp/minio_downloads/1764127333.json
[2025-11-26T03:49:33.596+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127343.json -> /tmp/minio_downloads/1764127343.json
[2025-11-26T03:49:33.607+0000] {logging_mixin.py:188} INFO - Downloaded AMZN/1764127352.json -> /tmp/minio_downloads/1764127352.json
[2025-11-26T03:49:33.619+0000] {logging_mixin.py:188} INFO - Downloaded GOOGL/1764127062.json -> /tmp/minio_downloads/1764127062.json
